col1,col2,col3,col4
12076845953281,-83309701454489,88954292317027,m
85376608564343,-4851056476951,82724887778257,L
47569035493608,-42858235153702,67883645698540,n
60201602689649,-82538949360958,-75273562910697,w
51405440417719,-68217536753036,-10180380457041,p
62536624366290,-77502355913717,71035119824778,k
53645916040107,-30646180683817,24093334665540,l
52417857577202,-14663314492791,-80604779902775,o
32380682827272,-86908525526693,58754018472181,z
26420129814520,-8108970076317,34544428131487,r
55872676984763,-4974325177764,81584879165124,y
27505192372308,-80472649999268,-8498361296507,G
35616260733166,-18585794645804,-35966621046868,w
76028266347371,-49964875444979,-39310443340904,N
48944371631682,-18767937498724,-4674647099993,Y
57317174393975,-5422148057580,41261009379996,L
92566798056174,-91449149593685,36416813351163,j
37572714742072,-47556742204875,86424938752072,R
32688989099704,-38967064994301,-67991655474218,S
91412373280846,-24260231379472,32297786436906,Y
77609552935875,-43338050963091,75303598969403,u
7041265275993,-37942183911451,47730923709256,L
99649574014305,-27222408693126,76165146018869,Z
75001347349517,-67991973492263,-40944086921414,B
44914436659176,-48118787324527,-14764134640913,l
76124694212711,-66796630272873,-79402271655970,K
61441082441548,-44711250647625,42181784030950,c
33333613518263,-46381990591375,19623974489112,t
70745817925053,-66418779437000,16192349415182,P
76253192420229,-91977112647207,-93771377063502,Y
60289222517843,-51451570088140,-33908680609594,I
49055797489749,-3661455156812,18460187039152,X
67762603644090,-63131264963293,69788823844016,n
51694194270207,-30785794568744,48123201003344,S
22602991016596,-51538394211961,57517759400479,C
68109154674951,-44977555546295,-4761241885439,j
87208518092791,-72402656270846,76743876288052,x
56444466556031,-69998225594015,-89978045572100,W
46628617515757,-36365663550689,-26751182779574,n
34205431133987,-32604958441886,11292172627925,W
28410580190420,-1185703578923,41887376770633,e
16133472908854,-85266532376559,50543673949955,O
33917500539053,-79871913785743,44665101742881,M
37569196988854,-43662094705984,11827033630260,Y
72114785347964,-72868276285312,92164845391805,b
10146826723886,-7899533661436,68222071285814,x
32081195361144,-66903817445014,-89752152731100,q
85915918017766,-93842407532900,91210228934370,l
50004779707392,-71348186241377,39893453926282,G
20277694830700,-4998428115896,-52692241380755,d
43640398372507,-45953649632122,-20721313071529,R
11308345346017,-40994101443203,-42676295593639,z
21531499367543,-84761716578293,-71055630962655,Q
49401086276815,-5218104484887,-22162178074923,Y
57527336597829,-21024157019633,-25274581438700,x
27277202115531,-56023968197355,1190464122721,i
62702032822752,-80537705064822,71012520526573,F
15543781611034,-10586037413456,20356991248967,V
18048847936786,-95305034774824,-33025299046840,W
70146149337686,-1617892816403,-1470273728903,w
25008574857905,-66648661875967,-93578235201677,P
50855567787658,-26656742539131,-96791316184457,Z
34164458248232,-43433013380816,67804505592518,Y
69854538080885,-14916547949554,53969414346433,A
67967510132037,-67299308040968,-28059810879315,F
13358050190507,-93988563030895,-30246837560029,R
23604018970727,-49551306976964,-866381866032,k
24694322083812,-560740383571,3360163137244,X
70400859845808,-70137976362745,-25894792237714,y
47181451807772,-8167345261964,-78606075034261,E
45200842906863,-692235729597,9180287263945,a
23036705745017,-18249787764359,-56916423141269,g
14963433840904,-56602707994409,40042623220827,w
23355994658411,-25585584065303,-29816150157228,g
27039365939986,-46243505686835,82417518460116,X
5956164296651,-30329962748607,-48552528004259,B
40065971951457,-77152926947440,-91809219706165,I
62793450871488,-85899726514832,72922168602106,d
99645255996219,-79142405731005,97377274707534,W
89272220065849,-43628415163778,19029301602689,P
83643264061013,-28107148490619,20496018010949,D
94391407330179,-92492073537625,-72481435148298,m
51293864534059,-48356981289028,61608015944309,z
44354846826527,-6541853048868,-68123543209323,E
7225964780941,-20505705928089,54948949325073,m
75041035237994,-34794154824493,67053252013068,C
70290623840424,-31984955486983,98448038248174,F
96772511767284,-79545236151326,-73232628059893,s
36571770250875,-54190634453526,-24157551026785,p
2803870837285,-7564603698843,-16048994505467,F
9147560514785,-92323359542564,89331189055282,D
22516176222368,-48783060475890,43703717975579,b
26679357393340,-29270432603340,-76656508752266,K
18155352263811,-15542166290123,-71447437997881,L
39333838917648,-68687376664638,85785301803790,N
22480788855531,-37952153566213,7159165329507,J
40453509057395,-23759745613392,-67770641616982,O
89669420453661,-98518332894166,92161896388509,y
57654645967587,-18902206881037,-11583478304153,t
43935996626658,-42504328837112,25541326218534,H
72711408691645,-29699666182575,81318554355389,F
56377978242987,-23182944962296,-34388498118959,F
17277816189994,-88784018530400,-86809151932086,o
24436473901253,-26000707159249,-65225973602368,Q
3945701977892,-83608074271289,-8391398113622,x
11282619016255,-17256727280635,9371818886173,V
6539278377534,-24327097276665,70946086998983,I
93323987109884,-81635901705425,-91595235895624,H
40777865825296,-54284295598919,66632954561729,O
19623583729642,-50051739048737,54196957595064,L
99386406852953,-63729044316501,11558108268925,W
65674376236324,-62612886969181,5739508075787,L
52195606110136,-53055047293940,67440597500404,w
78810035988932,-26336691628892,58440340245484,X
11932448166240,-28869511380399,-92460187818205,r
41481940349341,-81723746224602,14087170982201,b
87770015732543,-13003039885318,-90678984873758,v
44057169333875,-11364382169940,71520204317757,q
72500943024942,-10247740582767,-88118718056510,p
7498061537145,-36478856654244,53355196916006,Y
71373667249450,-79987895295499,-72864808096752,C
52232449258680,-15970416518825,40159858605467,P
21192461450091,-92399722853773,-64463121326996,T
76859167318377,-25182156096998,57311517015992,u
10444535838820,-38660835649697,-66316091827735,s
88481481523603,-55631849084124,-38806642158632,A
37342199920431,-24972106163737,-11929498430025,M
16958459376243,-31504031886094,61216745933650,w
56111138402035,-25011430361623,-76218641906167,p
27094999783831,-35020546503594,-16270636498048,t
92711863159483,-45799858812245,89093890260986,e
39091318534570,-31876931702011,53569916438811,d
54662473512638,-78480212829737,59138377289871,u
6539683736450,-50165427857833,-79564742341666,F
56131372353743,-71779694404065,-9680534753297,k
68628294450866,-62350105287342,23463987084696,F
21845713031265,-77694779489029,82273625466376,n
67999434003760,-98753778782656,96823631951640,H
14430786455767,-64021283821589,83656746140653,j
70972377818306,-68255365799983,-13364581703453,d
8151350540860,-71476707861981,71567369803358,O
51738529814304,-85106068161378,-50691230774856,z
